rank,frequency,omega,coordinate,n_seed,seed_min,seed_max,A_ref,pass_candidate,failure_reason,low_order_p_max,higher_p_min,higher_significant_count,lower_contribution_sum,higher_contribution_sum,higher_ratio,formal_natural_reference,nearest_formal_peak_frequency,nearest_formal_peak_coordinate,distance_to_nearest_formal_peak,inside_formal_exclusion_band,c1_f_p,c2_2f_p,c3_f_p,c3_3f_p,c4_2f_p,c4_4f_p,c1_f_mean_real,c1_f_mean_imag,c1_f_mean_abs,c2_2f_mean_real,c2_2f_mean_imag,c2_2f_mean_abs,c3_f_mean_real,c3_f_mean_imag,c3_f_mean_abs,c3_3f_mean_real,c3_3f_mean_imag,c3_3f_mean_abs,c4_2f_mean_real,c4_2f_mean_imag,c4_2f_mean_abs,c4_4f_mean_real,c4_4f_mean_imag,c4_4f_mean_abs,R1_c1_f,R2_c2_2f,R3_c3_f,R3_c3_3f,R4_c4_2f,R4_c4_4f,deprecated_score
11,0.765625,4.81056375080937,z,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.771292279828605,0.1306041716835249,0,0.09049533625067668,0.1467319128706733,1.6214306609593498,formal_spectrum,1.31982421875,z,0.55419921875,False,0.6986978061415619,0.771292279828605,0.6481838510648954,0.22506916867689797,0.5674892344600981,0.1306041716835249,-0.08721931063715305,0.09884020272347022,0.13182030883910448,-5.139116470694001,0.6949797920810163,5.185895777082233,11.553943179597027,2.610073967337918,11.845087129790636,-1.190029929124625,4.114621722306676,4.283256138720906,466.18234781437616,-71.24331384211823,471.59473192660937,-99.24006743979211,-21.871345929746965,101.62158608402619,0.015818437060692535,0.07467689918998414,0.020468310560278216,0.0074014666077097235,0.0977898836123017,0.02107225209038367,-0.771261935212171
12,0.6953125,4.368777283898306,z,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.771793067360892,0.3875121456570917,0,0.08354702099800859,0.07465592407651322,0.8935797253416458,formal_spectrum,1.31982421875,z,0.62451171875,False,0.41110998987417746,0.771793067360892,0.7364231460921927,0.7721114024722688,0.8419815307884587,0.3875121456570917,0.0150435336237935,0.18645662972131188,0.18706251006260077,2.138340096729036,-3.6647972775489563,4.243022207673368,5.773672938733545,-8.761017608457044,10.492412913108138,-1.8670808561583374,-0.9439492136049311,2.092135521733312,-141.91561419175557,151.82553194690962,207.8245262291852,0.05737235235812932,47.33470009870882,47.334734867975335,0.022447501207512092,0.0610995197904965,0.01813088951385086,0.0036152101815551626,0.043094493758883835,0.009815330622223364,-0.2992155542032024
13,2.265625,14.23534171157875,y,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.7881820848117247,0.37186976007704964,0,0.019518047525025443,0.018089136657201042,0.9267902762306376,formal_spectrum,2.6181640625,z,0.3525390625,False,0.7881820848117247,0.33785172540817593,0.8512131388342788,0.7592241817232639,0.37186976007704964,0.49641125460538393,-0.04450958938972786,0.060058989528209664,0.07475416891914305,-0.03319876039615882,-0.7317158142020738,0.7324685593561305,1.6047246224964526,4.955059167363049,5.208430902499809,0.00611628830037983,-0.06390654994447971,0.06419856780629644,15.247103619087046,39.99793501475634,42.80547832013851,0.4831922241665401,-0.089232706582296,0.4913625966829487,0.008970500270297166,0.01054754725472828,0.009000168599519668,0.00011093512516928024,0.00887614398446392,0.00010188894804817622,-0.3262356956513845
14,2.265625,14.23534171157875,x,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.7904829018594155,0.3080298031706075,0,0.008663678676306111,0.008387602075008369,0.9681340211690016,formal_spectrum,2.6181640625,z,0.3525390625,False,0.7904829018594155,0.3155478706025024,0.8562979777039171,0.5151626276172894,0.3080298031706075,0.43459927954330657,0.01407875374425304,0.04030444260467919,0.042692615294277744,-0.23725335504471814,-0.06453030679692895,0.24587255840227648,2.7802791250385024,0.955747628821646,2.9399669289165584,-0.029245522847743274,0.008916841955749145,0.03057467378569528,15.128726505294168,-1.3583778676109337,15.189587094559402,0.4091092288773578,-0.2966949655469304,0.5053694329235995,0.005123113835313329,0.0035405648409927814,0.005080262853167812,5.2833036301681435e-05,0.003149712779927837,0.00010479340561103757,-0.4092997422434314
15,2.8515625,17.91689560250429,z,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.7934107274377518,0.13771512409541267,0,0.0074679177910210864,0.016077850255553944,2.152922769836172,formal_spectrum,2.6181640625,z,0.2333984375,False,0.7934107274377518,0.6767891919738979,0.3153904268942913,0.9345425296467739,0.41021872880524424,0.13771512409541267,-0.02512947832436173,0.021358318720147727,0.03297981897169811,-0.12663975590894017,0.20829769383477775,0.24377357739009115,3.07582802745614,-5.826834196937771,6.588832583476997,-0.00190571056563135,-0.007142445905989371,0.007392311294848404,11.433042153484658,-18.501211098134416,21.748776172030674,0.7398248312719966,-0.35040695076666367,0.8186121255590032,0.0039575782766037735,0.0035103395144173125,0.01138550270424825,1.277391391749804e-05,0.00450982622703228,0.00016974741035591487,-0.7605164303350437
16,2.0546875,12.909982310845557,z,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.8141168210517782,0.13594141365959186,0,0.026129380351813506,0.039845836908290154,1.5249438131250848,formal_spectrum,1.5625,z,0.4921875,False,0.8141168210517782,0.0558038742784776,0.13594141365959186,0.4649499073989628,0.17971092472148428,0.745170437258603,-0.010345787336962106,0.049925779856929,0.05098645712288885,-1.2702543853678474,-0.5635509739265718,1.3896531595185309,3.27273822944091,-14.440643734787225,14.8068567560267,0.18507640060406622,-0.018624626559745956,0.18601115766277784,63.748898101331555,19.39486497683936,66.63394627818305,0.4380132020552511,-0.3851541878116364,0.583266074415044,0.006118374854746662,0.020011005497066844,0.025586248474414135,0.00032142728044128006,0.013817215100244034,0.0001209460531907035,-0.7773349462518331
17,3.1484375,19.782216240573227,x,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.8273105243355995,0.26571768739097845,0,0.003737397642893071,0.006016365875607592,1.6097740862677916,formal_spectrum,2.6181640625,z,0.5302734375,False,0.4460588685272616,0.8273105243355995,0.26571768739097845,0.7767336595788629,0.7805350586963449,0.7654807495067315,0.026051483058559723,-0.012063363861407456,0.028708962314983377,0.019453727135655727,0.005800741755957888,0.020300150353824018,-2.9048168876296625,1.4793086899631924,3.259802961968575,-0.005473278208871799,0.0027309013956876302,0.006116747238907256,-1.5468384120118763,0.24775772200852986,1.5665544873033557,0.21795596315188537,-0.07819420644298253,0.23155806139004054,0.0034450754777980053,0.00029232216509506584,0.005632939518281697,1.0569739228831736e-05,0.00032484073848722375,4.80158796098388e-05,-0.4932480850748212
18,0.3359375,2.110757564130642,x,128,0,127,0.12,False,c1_f_not_significant,0.8551655716829777,0.05855096128248917,0,0.3032129234798392,0.29404965492171775,0.9697794261110024,formal_spectrum,1.31982421875,z,0.98388671875,False,0.8551655716829777,0.03533137515124515,0.9232386655609166,0.8109279508058665,0.05855096128248917,0.18782302902067322,0.09086292786447314,-0.09906389341606844,0.13442368332572432,3.198575178325519,19.67799294910715,19.936255658385573,-7.294903483631341,3.9863007666718993,8.313014533721546,1.3038380378656964,-3.6097336158464386,3.8379904124889723,-206.76528231594853,-1097.2495519018958,1116.5609974918991,-199.9298246512714,11.215640880616007,200.24416442296408,0.016130841999086917,0.28708208148075226,0.01436488911427083,0.006632047432780943,0.23153008843992015,0.04152262993474582,-1.1645161785260005
19,0.3359375,2.110757564130642,y,128,0,127,0.12,False,c1_f_not_significant,0.8591565803199775,0.058617982862079844,0,0.3279121328570125,0.32785526920095787,0.9998265887402239,formal_spectrum,1.31982421875,z,0.98388671875,False,0.8591565803199775,0.035423723217066966,0.9265470451144093,0.8115788711295364,0.058617982862079844,0.18913242843984593,0.10927056659807494,-0.07996381240884448,0.13540409159113767,-5.130381864804203,21.02645912041485,21.643308462921944,-7.940584417022816,2.4527754052614057,8.310775419449188,3.573489706569977,-2.7853897675406425,4.530808409112185,258.42944638305846,-1184.3787101006442,1212.245316632537,-209.12404892063785,-157.5562976868801,261.83363950752795,0.01624849099093652,0.311663641866076,0.014361019924808194,0.007829236930945855,0.25137118885692283,0.05429382348828098,-1.1660414511287802
20,1.015625,6.381360077604267,x,128,0,127,0.12,False,c1_f_not_significant;c2_2f_not_significant,0.8688857993916779,0.09723907425218697,0,0.055421028734730045,0.06955102663833594,1.254957337064933,formal_spectrum,1.31982421875,z,0.30419921875,False,0.8688857993916779,0.42973582166298663,0.6677077767804477,0.5073936550274519,0.4708128310117029,0.09723907425218697,0.048743957578687595,0.0818442805459206,0.09525995831676735,2.8331243682779492,-1.1425901185267546,3.054849565049859,-1.2223742480183442,-15.790236796883665,15.8374801311281,-0.0044972702547948495,1.0101327949564642,1.0101428061845033,-168.7876592870641,61.51595508381146,179.64823032103473,14.696973996540153,-4.487771562669128,15.366884468026665,0.011431194998012081,0.04398983373671796,0.027367165666589352,0.0017455267690868214,0.03725185703936976,0.0031864771632900087,-0.951121883837024
