omega,forcing_amp,forcing_direction,output,harmonic,signal_amp,signal_amp_ci_low,signal_amp_ci_high,noise,noise_ci_low,noise_ci_high,snr,snr_ci_low,snr_ci_high,hotelling_T2,hotelling_F,hotelling_p,raw_forced_target_amp,raw_forced_target_amp_ci_low,raw_forced_target_amp_ci_high,ellipse_center_cos,ellipse_center_sin,ellipse_axis_major,ellipse_axis_minor,ellipse_angle_rad
6.62679700366597,0.03,x,y,3,0.15084626518512034,0.13286813820234422,0.16930209357388581,0.14228763738953287,0.13834373148678253,0.14631773355164135,1.0834593388941693,0.9548321051913813,1.221116044336438,9.709496427847737,4.77768871846476,0.011755247891712783,0.15084626518512034,0.13339108173954786,0.16925584798150584,0.0374394293664349,-0.009918531201806743,0.04138429559572434,0.031418142801160634,1.3443169373989226
6.62679700366597,0.03,x,y,4,0.06296316893016243,0.05564731326810274,0.07103643643251527,0.05891412297359179,0.057533508020965074,0.060302144807392176,1.0772394165960444,0.9521366931248995,1.2097195433076944,1.8970983413826967,0.9334928346486285,0.39863311928738576,0.06296316893016243,0.056117232286878656,0.07058859748382225,-0.0019699400631205243,0.007370264686620137,0.017172719238386928,0.013926493044675263,-2.7003372168660893
6.62679700366597,0.03,x,z,1,0.5362150421652908,0.47061194465936246,0.602301852297597,0.5225178458313091,0.5086475682846394,0.5356363504883397,1.0367074273161254,0.9136239740230611,1.1735177653650837,4.3170306887859,2.1242531960692523,0.1281396529903417,0.5362150421652911,0.4671061506938634,0.6026953510602807,0.08025658725832775,0.07274513715732771,0.13424076975340363,0.13143932857768578,2.6816880699180836
6.62679700366597,0.03,x,z,2,0.23595256433486203,0.2074800189810983,0.2659069465325925,0.23246081992115986,0.22770343950558725,0.23712390838701905,1.021493212354124,0.9006222431288667,1.1496924634352654,1.6474301237766853,0.8106402196361467,0.4492290217558703,0.23595256433486195,0.20808141572143893,0.26591768334648874,-0.02089952891058478,0.023751010137298755,0.06249408687423888,0.055627559470728526,2.440128053404656
6.62679700366597,0.03,x,z,3,0.1350942573599684,0.11600003151269855,0.15397102240425808,0.14069106189307218,0.13719646283687628,0.1444480356118853,0.9707070052783067,0.8319840632458716,1.113253872956217,0.6746795530072331,0.331985176876575,0.7187655016737671,0.13509425735996844,0.11603964769159808,0.15468568471278296,0.007991771977441255,-0.00681789830686437,0.037329371060210524,0.03223569103644545,-2.432227616327866
6.62679700366597,0.03,x,z,4,0.056911976368134935,0.04956154366788797,0.06473770469671024,0.058028317922463546,0.05650322523458405,0.05951946599723558,1.0107945837960661,0.859009263434246,1.1738787214405535,2.3247694820844784,1.1439341895971242,0.32519403536112623,0.05691197636813455,0.049479337741321266,0.06475357145397902,-0.007866996342523072,-0.0017636978826113194,0.01615537267559823,0.012731659490914822,2.3096864337029728
6.62679700366597,0.03,y,x,1,0.534687096288578,0.470555528390273,0.5999238863793086,0.5165861527560094,0.5025721365331367,0.5298897061339851,1.0494837694150754,0.9204017689676139,1.1907124066083197,2.0414324020428745,1.0045143565607795,0.3721037289845205,0.5346870962885781,0.4704481644409174,0.59987256950594,-0.07447744773145899,-0.03125181424865843,0.14576572296674084,0.11873556603428846,-2.458807008698088
6.62679700366597,0.03,y,x,2,0.21720987127343547,0.186595856609873,0.2475619956695753,0.20576803548715616,0.20032354573984285,0.211309436822999,1.0641607063697818,0.9195591576501111,1.2140572818383482,3.566010242882328,1.7547034528468597,0.18143818004385404,0.21720987127343555,0.18595273926656716,0.24772469717418671,-0.036665836694331586,-0.023056254056119104,0.05977235865475002,0.050991795715535304,-3.001289501733692
6.62679700366597,0.03,y,x,3,0.06946542339832001,0.06140335295587224,0.07783148061728441,0.06482462151058183,0.0629821858897368,0.06662738484148795,1.091257330749545,0.9581428138000143,1.228296070319532,3.520844083074397,1.7324788345286717,0.1852962974144643,0.06946542339832001,0.06151172715150073,0.07788194700742086,0.004509046375957258,-0.010971647433289895,0.018267174071874077,0.015978330118360647,-2.8007909440566277
6.62679700366597,0.03,y,x,4,0.020755048704530557,0.018317410720664444,0.023436781277477253,0.021377997608823023,0.020843340402567297,0.021929806192458812,0.9766210398578375,0.8583110974135466,1.0920022614539784,1.0119321381675768,0.497934861638014,0.6101941115809881,0.020755048704530536,0.018367887766957663,0.02332101700748284,-0.00020525788663441316,-0.0019525902575544102,0.005741370852480222,0.004582939972150366,-2.5834611634024647
