omega,forcing_frequency,amplitude,output,forcing_direction,order_class,n_components_tested,n_significant_components,min_p_value,min_p_value_adjusted,min_p_value_family_adjusted,best_response_group,best_harmonic,best_component,best_sample_mean,best_ci_low,best_ci_high,any_significant,significance_alpha
16.453477930861386,2.6186523437499996,0.08,0,2,higher_odd,6,0,0.0036132885023224684,0.021679731013934812,0.8671892405573924,odd,3,cos,-0.00048024179653835677,-0.0007976689952869549,-0.00016281459778975856,False,0.05
24.638799415019168,3.92138671875,0.005,0,2,higher_odd,6,0,0.3717556740598006,1.0,1.0,odd,3,cos,0.0001125883352511136,-0.0001375098132200209,0.0003626864837222481,False,0.05
24.638799415019168,3.92138671875,0.01,0,2,higher_odd,6,0,0.24150198821126578,1.0,1.0,odd,3,cos,0.00014741879163395608,-0.00010173567934500464,0.00039657326261291676,False,0.05
24.638799415019168,3.92138671875,0.02,0,2,higher_odd,6,0,0.9098854445337163,1.0,1.0,odd,3,cos,1.6121557380237936e-05,-0.00026737618918516536,0.00029961930394564127,False,0.05
24.638799415019168,3.92138671875,0.04,0,2,higher_odd,6,0,0.4252261171476396,1.0,1.0,odd,3,cos,-0.00010773347443394425,-0.00037597348236987575,0.00016050653350198723,False,0.05
24.638799415019168,3.92138671875,0.08,0,2,higher_odd,6,0,0.6711105141962874,1.0,1.0,odd,3,cos,-6.392930713882532e-05,-0.0003633821068158981,0.00023552349253824745,False,0.05
32.95911120851088,5.245605468749999,0.005,0,2,higher_odd,6,0,0.231638017797876,1.0,1.0,odd,3,cos,-0.0001618253303387237,-0.00042956961407392775,0.00010591895339648035,False,0.05
32.95911120851088,5.245605468749999,0.01,0,2,higher_odd,6,0,0.26935144110972403,1.0,1.0,odd,3,cos,-0.00014774751261786522,-0.00041269397468370376,0.00011719894944797334,False,0.05
32.95911120851088,5.245605468749999,0.02,0,2,higher_odd,6,0,0.14466499118519624,0.8679899471111774,1.0,odd,3,cos,0.0001832221366552553,-6.467723592565406e-05,0.00043112150923616465,False,0.05
32.95911120851088,5.245605468749999,0.04,0,2,higher_odd,6,0,0.2190359485068984,0.9224983940054501,1.0,odd,3,cos,-0.00014943395036836913,-0.0003899720110278853,9.110411029114704e-05,False,0.05
